  27.008   23.390 06R      8-20    164
  27.008  -23.390 22R      21-7    424
  30.384   23.390 06S      9-16    181
  30.384  -23.390 22S      20-3    399
 -28.696   26.313 05A      7-19    142
 -28.696  -26.313 23A      21-5    422
 -25.320   26.313 05B      2-13     31
 -25.320  -26.313 23B      20-5    401
 -21.944   26.313 05C       3-8     47
 -21.944  -26.313 23C     26-11    533
 -18.568   26.313 05D      3-16     55
 -18.568  -26.313 23D      25-9    510
 -15.192   26.313 05E       4-1     61
 -15.192  -26.313 23E     26-19    541
 -11.816   26.313 05F       4-9     69
 -11.816  -26.313 23F     27-10    553
  -8.440   26.313 05G      4-15     75
  -8.440  -26.313 23G     27-20    563
  -5.064   26.313 05H      5-14     95
  -5.064  -26.313 23H     28-14    578
  -1.688   26.313 05I      5-11     92
  -1.688  -26.313 23I     25-12    513
   1.688   26.313 05J       5-6     87
   1.688  -26.313 23J     28-11    575
   5.064   26.313 05K       5-2     83
   5.064  -26.313 23K      26-5    527
   8.440   26.313 05L      4-21     81
   8.440  -26.313 23L     25-16    517
  11.816   26.313 05M      4-11     71
  11.816  -26.313 23M     27-16    559
  15.192   26.313 05N      3-10     49
  15.192  -26.313 23N      28-6    570
  18.568   26.313 05O       3-2     41
  18.568  -26.313 23O      26-8    530
  21.944   26.313 05P      9-11    176
  21.944  -26.313 23P     26-21    543
  25.320   26.313 05Q       7-7    130
  25.320  -26.313 23Q      22-3    441
  28.696   26.313 05R       8-6    150
  28.696  -26.313 23R      23-2    461
 -27.008   29.237 04A      4-20     80
 -27.008  -29.237 24A      22-5    443
 -23.632   29.237 04B       6-5    107
 -23.632  -29.237 24B     22-16    454
 -20.256   29.237 04C      1-14     11
 -20.256  -29.237 24C     26-14    536
 -16.880   29.237 04D       2-8     26
 -16.880  -29.237 24D      27-8    551
 -13.504   29.237 04E      2-20     38
 -13.504  -29.237 24E      29-4    589
 -10.128   29.237 04F      3-21     60
 -10.128  -29.237 24F      28-7    571
  -6.752   29.237 04G       4-3     63
  -6.752  -29.237 24G     29-13    598
  -3.376   29.237 04H       4-7     67
  -3.376  -29.237 24H     26-20    542
   0.000   29.237 04I      3-17     56
   0.000  -29.237 24I      29-9    594
   3.376   29.237 04J      3-14     53
   3.376  -29.237 24J     28-19    583
   6.752   29.237 04K       3-7     46
   6.752  -29.237 24K      27-2    545
  10.128   29.237 04L       3-3     42
  10.128  -29.237 24L      29-1    586
  13.504   29.237 04M      2-14     32
  13.504  -29.237 24M     28-13    577
  16.880   29.237 04N      1-20     17
  16.880  -29.237 24N      29-6    591
  20.256   29.237 04O      5-16     97
  20.256  -29.237 24O     29-16    601
  23.632   29.237 04P       5-5     86
  23.632  -29.237 24P     24-14    494
  27.008   29.237 04Q      6-21    123
  27.008  -29.237 24Q     23-17    476
 -25.320   32.161 03A       3-6     45
 -25.320  -32.161 25A      23-4    463
 -21.944   32.161 03B       4-4     64
 -21.944  -32.161 25B     28-21    585
 -18.568   32.161 03C       1-6      3
 -18.568  -32.161 25C     27-21    564
 -15.192   32.161 03D      1-18     15
 -15.192  -32.161 25D     27-14    557
 -11.816   32.161 03E       2-6     24
 -11.816  -32.161 25E      29-2    587
  -8.440   32.161 03F       3-1     40
  -8.440  -32.161 25F     28-15    579
  -5.064   32.161 03G       2-2     20
  -5.064  -32.161 25G     28-20    584
  -1.688   32.161 03H      3-11     50
  -1.688  -32.161 25H     29-14    599
   1.688   32.161 03I       3-9     48
   1.688  -32.161 25I      28-1    565
   5.064   32.161 03J      2-21     39
   5.064  -32.161 25J      29-5    590
   8.440   32.161 03K      2-16     34
   8.440  -32.161 25K      28-8    572
  11.816   32.161 03L      2-12     30
  11.816  -32.161 25L     27-11    554
  15.192   32.161 03M       2-9     27
  15.192  -32.161 25M      29-8    593
  18.568   32.161 03N      1-16     13
  18.568  -32.161 25N      25-7    508
  21.944   32.161 03O      1-12      9
  21.944  -32.161 25O     22-18    456
  25.320   32.161 03P      3-18     57
  25.320  -32.161 25P      24-2    482
 -23.632   35.084 02A      3-20     59
 -23.632  -35.084 26A     25-19    520
 -20.256   35.084 02B      2-19     37
 -20.256  -35.084 26B      26-3    525
 -16.880   35.084 02C       7-5    128
 -16.880  -35.084 26C     26-17    539
 -13.504   35.084 02D       1-8      5
 -13.504  -35.084 26D      28-4    568
 -10.128   35.084 02E      2-10     28
 -10.128  -35.084 26E     28-18    582
  -6.752   35.084 02F      1-15     12
  -6.752  -35.084 26F     28-12    576
  -3.376   35.084 02G       2-7     25
  -3.376  -35.084 26G     29-18    603
   0.000   35.084 02H       2-1     19
   0.000  -35.084 26H      27-7    550
   3.376   35.084 02I      1-21     18
   3.376  -35.084 26I      29-3    588
   6.752   35.084 02J      1-19     16
   6.752  -35.084 26J     27-15    558
  10.128   35.084 02K       1-7      4
  10.128  -35.084 26K     29-17    602
  13.504   35.084 02L       1-5      2
  13.504  -35.084 26L     29-10    595
  16.880   35.084 02M       6-7    109
  16.880  -35.084 26M     27-19    562
  20.256   35.084 02N       2-5     23
  20.256  -35.084 26N     26-15    537
  23.632   35.084 02O       3-4     43
  23.632  -35.084 26O      26-1    523
 -21.944   38.008 01A      1-10      7
 -21.944  -38.008 27A      25-6    507
 -18.568   38.008 01B       2-3     21
 -18.568  -38.008 27B     24-16    496
 -15.192   38.008 01C       5-3     84
 -15.192  -38.008 27C     27-17    560
 -11.816   38.008 01D      5-18     99
 -11.816  -38.008 27D      27-5    548
  -8.440   38.008 01E      7-21    144
  -8.440  -38.008 27E     29-12    597
  -5.064   38.008 01F       1-4      1
  -5.064  -38.008 27F      28-5    569
  -1.688   38.008 01G      1-17     14
  -1.688  -38.008 27G     23-19    478
   1.688   38.008 01H      1-13     10
   1.688  -38.008 27H      28-9    573
   5.064   38.008 01I       1-9      6
   5.064  -38.008 27I     29-15    600
   8.440   38.008 01J       8-8    152
   8.440  -38.008 27J      29-7    592
  11.816   38.008 01K      6-19    121
  11.816  -38.008 27K     28-16    580
  15.192   38.008 01L      4-18     78
  15.192  -38.008 27L      28-2    566
  18.568   38.008 01M       4-6     66
  18.568  -38.008 27M      27-3    546
  21.944   38.008 01N      2-17     35
  21.944  -38.008 27N     25-21    522
  -3.376  253.200 S03       4-5     65
   0.000  253.200 S04      5-17     98
   3.376  253.200 S05      6-20    122
  -1.688  256.124 S01      1-11      8
  -1.688  250.276 S06       8-7    151
   1.688  256.124 S02      2-18     36
   1.688  250.276 S07      9-17    182
 175.663  179.039 S10      4-19     79
 179.039  179.039 S11       6-6    108
 182.415  179.039 S12      7-20    143
 177.351  181.963 S08       2-4     22
 177.351  176.116 S13      8-21    165
 180.727  181.963 S09      3-19     58
 180.727  176.116 S14      10-4    190
 249.824    0.000 S17     13-17    266
 253.200    0.000 S18      15-3    294
 256.576    0.000 S19     16-16    328
 251.512    2.924 S15      11-1    208
 251.512   -2.924 S20     17-19    352
 254.888    2.924 S16      12-5    233
 254.888   -2.924 S21      19-5    380
 175.663 -179.039 S24      13-2    251
 179.039 -179.039 S25     21-21    438
 182.415 -179.039 S26     14-18    288
 177.351 -176.116 S22     11-16    223
 177.351 -181.963 S27      23-3    462
 180.727 -176.116 S23     20-16    412
 180.727 -181.963 S28     15-18    309
  -3.376 -253.200 S31      26-2    524
   0.000 -253.200 S32     18-17    371
   3.376 -253.200 S33      27-4    547
  -1.688 -250.276 S29     24-15    495
  -1.688 -256.124 S34     19-20    395
   1.688 -250.276 S30      17-4    337
   1.688 -256.124 S35     28-17    581
-182.415 -179.039 S38      24-1    481
-179.039 -179.039 S39      25-5    506
-175.663 -179.039 S40     26-16    538
-180.727 -176.116 S36      21-6    423
-180.727 -181.963 S41      28-3    567
-177.351 -176.116 S37     22-17    455
-177.351 -181.963 S42     29-11    596
-256.576   -0.000 S45       7-6    129
-253.200   -0.000 S46       9-3    168
-249.824   -0.000 S47     10-18    204
-254.888    2.924 S43       3-5     44
-254.888   -2.924 S48     12-19    247
-251.512    2.924 S44       5-4     85
-251.512   -2.924 S49      14-5    275
-182.415  179.039 S52      20-4    400
-179.039  179.039 S53      22-4    442
-175.663  179.039 S54     23-18    477
-180.727  181.963 S50      16-4    316
-180.727  176.116 S55     25-20    521
-177.351  181.963 S51      18-4    358
-177.351  176.116 S56     27-18    561
